"","CBA_001","CBA_002","CBA_004","CBA_005","CBA_007","CBA_008"
"GAPVD1",376,293,407,385,470,363
"GAR1",92,92,101,116,120,62
"GAREM",30,27,19,15,9,25
"GAREML",2,2,4,4,3,4
"GARNL3",6,13,5,7,18,8
"GARS",1152,964,962,902,1496,674
"GART",1419,1069,1359,1117,1728,781
"GAS1",16,40,41,35,26,18
"GAS2",0,0,0,2,0,0
"GAS2L1",15,16,47,29,48,9
"GAS2L2",0,0,0,0,0,3
"GAS2L3",63,66,141,113,143,112
"GAS5",983,1020,566,1103,812,677
"GAS5-AS1",1,0,4,3,2,2
"GAS6",345,299,311,338,485,138
"GAS6-AS1",0,1,0,0,0,0
"GAS6-AS2",155,135,161,186,220,60
"GAS7",1,0,0,0,0,1
"GAS8",30,27,51,45,30,27
"GAST",0,2,0,0,0,0
"GATA1",0,0,0,0,0,0
"GATA2",7,5,2,2,1,2
"GATA3",1,0,0,1,1,1
"GATA3-AS1",0,0,0,0,0,0
"GATA4",1,2,0,0,0,0
"GATA5",0,0,0,0,0,0
"GATA6",5,7,4,3,3,3
"GATA6-AS1",3,3,2,1,0,0
"GATAD1",327,310,373,376,370,251
"GATAD2A",88,101,90,120,130,75
"GATAD2B",85,55,87,67,137,95
"GATC",952,901,1404,1213,1355,780
"GATM",2,3,0,0,0,0
"GATM-AS1",0,1,0,0,1,0
"GATS",8,6,30,21,28,25
"GATSL2",0,0,2,1,3,1
"GATSL3",11,5,45,10,23,28
"GBA",235,144,285,138,241,182
"GBA2",95,52,107,78,106,71
"GBA3",2,0,0,0,0,0
"GBAP1",10,14,12,6,15,19
"GBAS",1339,1175,2172,1598,1847,1273
"GBE1",514,266,489,518,503,272
"GBF1",67,53,86,60,57,65
"GBGT1",0,2,0,1,0,1
"GBP1",2733,1976,466,555,1631,613
"GBP1P1",178,107,8,13,40,27
"GBP2",794,355,307,76,285,414
"GBP3",1645,1217,537,638,1044,715
"GBP4",12,2,0,0,7,1
"GBP5",458,247,80,34,236,99
"GBP6",1,0,0,0,0,0
"GBP7",4,0,5,3,4,1
"GBX1",1,0,0,0,0,0
"GBX2",0,0,0,0,0,0
"GC",0,0,0,0,0,0
"GCA",544,418,198,374,402,250
"GCAT",75,80,304,155,170,109
"GCC1",66,34,34,58,58,43
"GCC2",519,540,736,579,838,777
"GCDH",29,22,47,29,29,32
"GCFC2",242,229,274,322,283,230
"GCG",1,0,0,0,0,0
"GCGR",0,0,0,0,0,0
"GCH1",100,85,26,21,46,30
"GCHFR",568,414,2374,1054,823,1515
"GCK",0,1,1,0,0,0
"GCKR",0,1,2,0,0,0
"GCLC",125,67,75,88,98,107
"GCLM",749,524,871,782,872,623
"GCM1",4,2,0,4,2,1
"GCM2",2,0,0,0,0,0
"GCN1L1",61,63,74,69,71,39
"GCNT1",446,389,485,370,579,273
"GCNT2",32,18,17,8,7,12
"GCNT3",1,0,0,0,0,1
"GCNT4",0,0,0,6,4,0
"GCNT7",0,2,0,1,1,2
"GCOM1",0,0,0,4,6,0
"GCSAM",1,5,7,6,0,0
"GCSAML",0,0,0,0,0,1
"GCSAML-AS1",0,0,0,0,0,0
"GCSH",856,845,1353,1684,1699,1015
"GCSHP3",5,7,9,13,5,12
"GDA",6,1,2,1,1,5
"GDAP1",198,211,189,137,193,137
"GDAP1L1",0,4,0,1,2,0
"GDAP2",460,389,474,504,618,316
"GDE1",321,251,469,341,462,269
"GDF1",0,0,0,0,0,0
"GDF10",0,0,0,0,0,0
"GDF11",107,128,168,202,175,118
"GDF15",14,10,2,1,0,25
"GDF2",0,0,0,0,0,1
"GDF3",0,0,0,0,0,0
"GDF5",64,67,70,69,45,34
"GDF6",1,1,0,0,0,0
"GDF7",0,0,0,0,0,0
"GDF9",5,11,3,7,6,2
"GDI1",361,274,464,252,417,228
"GDI2",2373,1621,2667,2188,2966,1554
"GDNF",11,3,1,2,13,3
"GDNF-AS1",0,2,0,1,0,0
"GDPD1",2,7,8,11,4,5
"GDPD2",0,2,2,0,2,1
"GDPD3",105,62,42,73,84,51
"GDPD4",0,0,0,0,0,0
"GDPD5",3,1,1,3,3,1
"GDPGP1",4,0,0,1,5,3
"GEM",909,754,727,735,1015,786
"GEMIN2",433,328,539,585,430,476
"GEMIN4",82,68,98,61,63,56
"GEMIN5",70,93,107,101,136,64
"GEMIN6",643,440,604,805,612,498
"GEMIN7",270,324,356,397,445,238
"GEMIN8",277,275,441,377,347,276
"GEMIN8P4",10,14,4,7,15,6
"GEN1",204,125,239,167,178,154
"GET4",234,318,275,189,235,168
"GFAP",22,5,38,6,5,15
"GFER",150,168,204,213,161,118
"GFI1",3,1,0,1,0,2
"GFI1B",0,0,0,2,0,0
"GFM1",493,323,422,376,570,384
"GFM2",268,162,350,209,316,185
"GFOD1",13,7,10,14,15,5
"GFOD2",21,26,34,30,31,21
"GFPT1",1063,733,1024,880,1327,697
"GFPT2",354,222,412,278,413,141
"GFRA1",0,4,0,1,1,1
"GFRA2",0,0,0,0,0,0
"GFRA3",0,0,1,4,2,0
"GFRA4",0,0,0,0,0,0
"GFRAL",0,0,0,0,0,0
"GFY",0,0,0,0,0,0
"GGA1",47,57,68,56,66,28
"GGA2",59,86,90,59,79,75
"GGA3",24,25,22,23,14,9
"GGACT",105,81,110,94,120,83
"GGCT",1612,1296,1755,1807,1878,1376
"GGCX",316,188,286,263,252,225
"GGH",3447,2419,3914,4280,4253,4068
"GGN",0,0,2,2,0,1
"GGNBP1",0,0,0,0,0,0
"GGNBP2",705,621,909,677,921,619
"GGPS1",1216,894,1550,1550,1483,1366
"GGT1",1,0,0,0,0,2
"GGT2",0,0,0,1,0,0
"GGT3P",0,0,0,0,0,0
"GGT5",69,57,77,34,50,59
"GGT6",0,0,0,0,0,0
"GGT7",11,12,17,14,17,12
"GGT8P",0,0,0,0,0,0
"GGTA1P",0,0,1,0,0,0
"GGTLC1",0,0,0,1,0,0
"GGTLC2",0,0,0,0,0,0
"GH1",0,0,0,0,0,0
"GH2",0,0,0,0,0,1
"GHDC",15,9,12,10,9,5
"GHITM",2904,2351,3715,3310,3560,2080
"GHR",0,1,2,3,1,0
"GHRH",0,0,0,0,0,0
"GHRHR",0,0,0,0,0,0
"GHRL",0,0,0,0,0,0
"GHRLOS",4,7,2,0,3,2
"GHSR",0,0,0,0,0,0
"GID4",51,46,37,64,52,36
"GID8",309,316,434,362,412,346
"GIF",0,0,0,0,0,0
"GIGYF1",24,27,18,22,24,23
"GIGYF2",142,158,131,141,198,82
"GIMAP1",0,0,0,0,0,0
"GIMAP1-GIMAP5",0,0,0,0,0,0
"GIMAP2",26,24,3,0,7,9
"GIMAP4",1,1,0,0,0,0
"GIMAP5",0,0,0,0,0,0
"GIMAP6",1,0,0,0,0,0
"GIMAP7",0,0,0,0,0,0
"GIMAP8",0,0,0,0,0,0
"GIMD1",1,0,0,1,0,0
"GIN1",285,192,271,375,292,235
"GINM1",715,553,834,729,843,650
"GINS1",540,418,628,357,567,371
"GINS2",552,430,733,678,639,524
"GINS3",109,77,92,69,74,52
"GINS4",46,26,52,28,36,41
"GIP",3,1,0,5,2,5
"GIPC1",93,97,112,83,125,54
"GIPC2",27,37,11,55,36,14
"GIPC3",0,3,0,0,0,0
"GIPR",0,0,0,0,0,0
"GIT1",29,13,30,30,34,26
"GIT2",125,87,166,114,121,114
"GJA1",239,162,346,316,370,625
"GJA10",0,0,0,0,0,1
"GJA3",15,23,19,30,16,17
"GJA4",0,0,0,0,0,0
"GJA5",2,0,2,0,0,0
"GJA8",1,0,0,0,0,0
"GJA9",0,0,0,0,0,0
"GJA9-MYCBP",13,17,20,38,50,18
"GJB1",0,0,0,0,0,0
"GJB2",4662,3462,7244,4154,5450,2527
"GJB3",0,0,0,0,0,1
"GJB4",1,0,0,0,0,0
"GJB5",0,0,0,0,0,0
"GJB6",0,0,1,0,0,0
"GJB7",0,1,1,0,0,0
"GJC1",172,152,153,158,180,110
"GJC2",0,1,2,0,1,0
"GJC3",0,1,0,0,0,3
"GJD2",0,0,0,0,0,0
"GJD3",1,2,0,2,0,1
"GJD4",0,0,0,0,0,0
"GK",219,144,207,183,198,197
"GK2",0,0,0,0,0,0
"GK3P",1,0,0,0,0,0
"GK5",86,64,108,117,107,111
"GKAP1",61,66,57,56,44,37
"GKN1",2,1,0,0,0,0
"GKN2",0,0,0,0,0,0
"GLA",664,427,636,533,589,614
"GLB1",357,213,514,198,307,228
"GLB1L",7,3,20,4,8,9
"GLB1L2",1,0,0,0,0,1
"GLB1L3",0,0,1,0,0,0
"GLCCI1",72,42,99,75,101,85
"GLCE",138,79,134,155,171,100
"GLDC",9,7,12,3,2,3
"GLDN",0,0,1,0,0,4
"GLE1",195,152,251,228,231,156
"GLG1",375,230,495,362,505,354
"GLI1",0,0,1,0,0,0
"GLI2",4,7,9,17,10,14
"GLI3",254,197,245,240,265,194
"GLI4",13,11,14,16,23,20
"GLIDR",33,64,73,57,50,44
"GLIPR1",3745,2966,4215,4679,5434,4889
"GLIPR1L1",4,0,16,4,3,17
"GLIPR1L2",22,9,24,17,12,29
"GLIPR2",638,527,873,940,1040,377
"GLIS1",1,4,2,0,3,0
"GLIS2",18,7,20,16,10,16
"GLIS3",233,224,255,277,281,225
"GLIS3-AS1",1,1,1,0,1,1
"GLMN",709,518,829,892,764,646
"GLO1",5986,5020,6924,7429,8226,4276
"GLOD4",590,493,752,468,745,540
"GLOD5",0,0,0,0,0,0
"GLP1R",2,0,0,0,0,0
"GLP2R",0,0,0,0,0,0
"GLRA1",0,0,0,0,0,0
"GLRA2",0,1,0,0,0,0
"GLRA3",0,0,1,0,0,0
"GLRA4",0,0,0,0,0,0
"GLRB",425,322,338,447,474,295
"GLRX",566,491,399,600,560,392
"GLRX2",1082,1006,1023,1418,1228,798
"GLRX3",1499,1360,1702,1913,2130,1035
"GLRX5",882,919,1677,1416,1344,865
"GLS",1114,839,1342,1544,1585,982
"GLS2",0,0,0,0,0,1
"GLT1D1",0,0,0,0,0,0
"GLT6D1",0,0,0,0,0,0
"GLT8D1",461,416,747,514,638,439
"GLT8D2",80,72,124,41,79,118
"GLTP",138,132,193,203,212,133
"GLTPD1",14,16,33,15,28,16
"GLTPD2",0,1,0,1,1,0
"GLTSCR1",3,4,4,0,7,4
"GLTSCR1L",47,51,52,68,63,58
"GLTSCR2",71,68,69,77,102,73
"GLUD1",1016,768,752,771,859,554
"GLUD1P3",2,4,4,1,2,3
"GLUD1P7",0,1,2,0,6,1
"GLUD2",3,3,3,0,3,1
"GLUL",360,257,308,225,347,213
"GLYAT",0,0,0,0,0,0
"GLYATL1",0,0,0,0,0,0
"GLYATL2",0,0,15,0,0,12
"GLYATL3",0,1,0,0,0,0
"GLYCAM1",0,0,0,0,0,0
"GLYCTK",36,17,29,14,38,12
"GLYR1",71,63,83,82,111,91
"GM140",0,0,0,0,0,0
"GM2A",38,23,30,20,35,22
"GMCL1",92,50,114,105,77,89
"GMCL1P1",0,0,0,2,0,0
"GMDS",328,303,360,226,297,170
"GMDS-AS1",6,7,6,9,2,11
"GMEB1",43,76,96,69,100,48
"GMEB2",15,25,20,20,29,17
"GMFB",5704,4664,4793,6967,6538,4190
"GMFG",1,0,1,3,2,3
"GMIP",3,9,9,7,14,3
"GML",0,0,0,0,0,0
"GMNC",1,1,2,0,0,0
"GMNN",2677,2246,2469,2694,2423,2162
"GMPPA",177,164,258,162,195,126
"GMPPB",62,63,127,73,64,44
"GMPR",2005,1389,656,421,949,935
"GMPR2",190,146,278,212,264,157
"GMPS",955,699,1199,1014,1235,656
"GNA11",127,103,159,129,196,88
"GNA12",239,155,261,259,256,178
"GNA13",759,611,516,613,657,538
"GNA14",7,1,6,6,3,3
"GNA15",0,0,0,0,0,0
"GNAI1",909,1157,812,850,756,626
"GNAI2",621,449,1059,575,865,382
"GNAI3",2875,1927,3309,2654,3448,1895
"GNAL",21,21,33,35,43,46
"GNAO1",5,5,0,0,0,0
"GNAQ",692,501,598,652,672,610
"GNAS",4264,3668,6483,5267,6277,4231
"GNAS-AS1",6,4,3,1,2,2
"GNAT1",0,0,0,1,0,0
"GNAT2",1,5,2,0,3,0
"GNAT3",0,0,0,0,0,1
"GNAZ",32,21,31,53,51,17
"GNB1",955,728,950,951,1078,532
"GNB1L",12,17,22,13,10,7
"GNB2",269,223,362,346,379,195
"GNB2L1",4460,3659,5021,6460,6567,3056
"GNB3",4,11,5,10,4,5
"GNB4",1298,985,946,934,1515,810
"GNB5",127,92,161,143,172,99
"GNE",90,85,85,77,108,77
"GNG10",5179,4998,5435,7748,6580,4108
"GNG11",950,768,955,1038,1062,1271
"GNG12",2950,2465,3095,3720,4149,1804
"GNG12-AS1",2,1,5,2,1,3
"GNG13",0,0,0,0,0,0
"GNG2",397,305,347,396,393,363
"GNG3",2,2,9,2,1,1
"GNG4",51,51,88,77,64,34
"GNG5",8632,7207,6869,9291,8898,7025
"GNG7",0,0,2,3,3,9
"GNG8",0,0,0,0,0,0
"GNGT1",0,0,0,0,0,0
"GNGT2",1,0,0,0,0,0
"GNL1",41,35,64,26,49,25
"GNL2",974,735,1024,861,1269,662
"GNL3",2380,2026,2402,3368,3288,1850
"GNL3L",110,98,128,144,199,84
"GNLY",0,0,0,0,2,0
"GNMT",8,7,24,9,5,14
"GNN",1,4,1,2,1,0
"GNPAT",606,441,789,809,878,448
"GNPDA1",455,343,434,432,523,358
"GNPDA2",787,618,718,1001,920,856
"GNPNAT1",951,622,704,1098,1117,701
"GNPTAB",129,87,146,142,151,127
"GNPTG",233,221,432,251,279,261
"GNRH1",30,13,23,20,14,17
"GNRH2",0,0,0,0,0,0
"GNRHR",2,3,0,1,0,5
"GNRHR2",8,4,6,1,14,1
"GNS",466,382,535,428,488,511
"GOLGA1",115,71,96,75,100,79
"GOLGA2",75,81,113,128,132,100
"GOLGA2P2Y",0,0,0,0,0,0
"GOLGA2P5",0,5,1,0,0,1
"GOLGA2P7",2,3,8,1,4,2
"GOLGA3",83,74,140,87,122,80
"GOLGA4",1390,1218,1265,1559,1625,1049
"GOLGA5",566,462,720,675,833,514
"GOLGA6A",1,0,0,0,0,0
"GOLGA6B",0,1,0,0,0,0
"GOLGA6C",0,1,1,1,1,0
"GOLGA6D",0,0,0,0,0,1
"GOLGA6L1",1,0,0,0,0,0
"GOLGA6L10",11,7,15,8,4,2
"GOLGA6L2",1,4,2,3,2,2
"GOLGA6L3",0,0,0,0,0,0
"GOLGA6L4",0,0,0,1,0,0
"GOLGA6L5P",14,10,1,7,3,6
"GOLGA6L6",0,0,0,1,0,0
"GOLGA6L7P",0,0,0,0,0,0
"GOLGA6L9",37,27,46,72,52,42
"GOLGA7",1504,1370,1726,1720,2073,1581
"GOLGA7B",0,0,2,0,0,0
"GOLGA8A",20,18,34,19,42,19
"GOLGA8B",214,167,244,236,255,246
"GOLGA8CP",0,0,0,0,0,0
"GOLGA8DP",3,0,0,0,0,0
"GOLGA8EP",0,0,0,0,0,2
"GOLGA8F",1,3,0,0,1,0
"GOLGA8G",1,0,6,8,0,0
"GOLGA8H",12,7,6,10,2,14
"GOLGA8I",0,1,1,0,0,0
"GOLGA8J",0,0,0,0,0,0
"GOLGA8K",3,0,0,1,0,3
"GOLGA8M",1,1,0,0,0,2
"GOLGA8N",9,14,5,10,14,19
"GOLGA8O",6,1,0,0,0,0
"GOLGA8R",0,0,0,0,2,0
"GOLGA8S",0,0,0,0,0,0
"GOLGA8T",0,0,0,0,0,0
"GOLGB1",410,403,738,505,848,639
"GOLIM4",222,182,380,385,370,376
"GOLM1",579,432,813,607,759,621
"GOLPH3",527,433,512,423,457,383
"GOLPH3L",192,153,183,143,165,152
"GOLT1A",4,0,8,0,0,5
"GOLT1B",3802,2934,2917,4811,4455,3326
"GON4L",304,317,471,359,442,355
"GOPC",484,388,468,637,598,396
"GORAB",994,892,687,781,763,809
"GORASP1",44,31,39,35,47,23
"GORASP2",313,203,334,243,353,193
"GOSR1",610,423,592,576,601,518
"GOSR2",554,492,570,788,789,464
"GOT1",341,268,566,329,456,284
"GOT1L1",0,0,0,0,0,0
"GOT2",576,356,644,416,570,292
"GP1BA",0,1,0,0,0,1
"GP1BB",6,1,3,8,0,2
"GP2",0,0,1,0,0,0
"GP5",0,0,0,0,0,0
"GP6",0,1,0,0,0,1
"GP9",0,0,0,0,0,0
"GPA33",0,0,0,0,0,0
"GPAA1",273,177,393,174,341,180
"GPALPP1",678,522,647,694,764,524
"GPAM",92,64,107,92,110,98
"GPANK1",73,58,128,84,124,80
"GPAT2",2,0,1,1,0,0
"GPATCH1",71,51,88,52,113,55
"GPATCH11",441,346,499,477,489,372
"GPATCH2",243,235,199,205,255,167
"GPATCH2L",86,76,118,110,141,70
"GPATCH3",11,15,17,9,18,28
"GPATCH4",682,528,701,821,1036,410
"GPATCH8",129,133,171,125,175,161
"GPBAR1",0,1,1,0,1,0
"GPBP1",1418,1245,1026,992,1430,931
"GPBP1L1",467,367,498,419,537,379
"GPC1",51,55,70,56,75,21
"GPC2",0,0,3,0,1,0
"GPC3",0,0,1,1,1,2
"GPC4",68,42,48,52,69,32
"GPC5",1,1,1,0,0,0
"GPC5-AS1",0,0,0,0,0,0
"GPC6",808,614,948,1285,1027,861
"GPC6-AS1",0,0,0,0,0,0
"GPC6-AS2",0,0,0,0,0,0
"GPCPD1",1256,1325,1008,1177,1147,1192
"GPD1",0,1,0,0,0,0
"GPD1L",95,61,115,131,113,118
"GPD2",455,284,410,398,452,337
"GPER1",3,1,13,3,4,5
"GPHA2",0,0,0,0,0,0
"GPHB5",0,0,0,0,0,0
"GPHN",45,43,84,48,111,50
"GPI",427,332,604,525,672,309
"GPIHBP1",0,0,0,0,0,0
"GPKOW",103,76,159,76,88,65
"GPLD1",2,3,8,11,0,10
"GPM6A",1,1,5,4,3,6
"GPM6B",693,624,1642,986,1108,1536
"GPN1",1080,781,1071,1105,1413,710
"GPN2",73,81,136,109,119,72
"GPN3",953,801,1277,1032,1050,974
"GPNMB",243,290,374,161,223,582
"GPR1",4,2,0,3,0,2
"GPR1-AS",0,0,0,0,0,3
"GPR101",0,1,0,0,0,0
"GPR107",148,126,175,171,191,129
"GPR108",209,162,410,173,253,164
"GPR110",4,4,1,1,1,5
"GPR111",0,1,1,0,0,0
"GPR112",1,0,1,0,0,2
"GPR113",7,0,0,2,3,1
"GPR114",0,0,0,0,0,0
"GPR115",0,1,0,0,0,0
"GPR116",0,0,1,0,0,0
"GPR119",0,0,0,1,0,0
"GPR12",2,0,0,1,1,0
"GPR123",0,1,0,0,0,0
"GPR124",9,8,5,7,10,7
"GPR125",52,43,91,67,74,53
"GPR126",20,14,5,17,14,9
"GPR128",0,0,0,0,0,2
"GPR132",0,0,1,0,0,0
"GPR133",0,1,0,0,0,0
"GPR135",2,2,1,0,0,1
"GPR137",15,19,25,14,18,12
"GPR137B",21,23,35,19,31,37
"GPR137C",32,16,57,42,41,78
"GPR139",0,0,0,0,0,0
"GPR141",3,0,0,0,0,0
"GPR142",0,0,0,0,0,0
"GPR143",0,0,1,3,3,1
"GPR144",0,1,0,0,0,0
"GPR146",7,2,7,0,6,14
"GPR148",0,0,0,0,0,0
"GPR149",0,0,0,0,0,0
"GPR15",0,0,0,0,0,0
"GPR150",2,1,0,0,0,0
"GPR151",0,0,1,0,0,3
"GPR152",0,0,0,0,0,0
"GPR153",0,1,0,0,0,0
"GPR155",38,37,77,44,85,52
"GPR156",0,2,7,2,1,3
"GPR157",2,5,0,1,2,0
"GPR158",0,0,0,1,0,0
"GPR158-AS1",0,1,1,0,0,0
"GPR160",17,5,5,12,11,6
"GPR161",121,94,146,110,173,66
"GPR162",5,8,30,9,13,12
"GPR17",0,0,0,0,0,0
"GPR171",1,2,0,0,0,0
"GPR173",3,1,5,2,6,5
"GPR174",0,3,2,0,0,0
"GPR176",206,196,84,179,188,65
"GPR179",4,2,0,1,0,0
"GPR18",6,12,11,9,5,9
"GPR180",1916,1310,900,1244,1435,843
"GPR182",0,0,0,0,0,0
"GPR183",7,11,7,14,19,9
"GPR19",19,28,40,15,4,43
"GPR20",0,0,0,0,0,0
"GPR21",2,1,1,2,0,2
"GPR22",40,28,19,19,10,22
"GPR25",0,0,0,0,0,0
"GPR26",2,2,0,0,0,0
"GPR27",0,0,0,0,0,0
"GPR3",16,15,29,13,26,13
"GPR31",0,0,0,0,0,0
"GPR32",0,0,1,0,0,0
"GPR33",0,0,0,0,0,0
"GPR34",2,2,1,3,1,3
"GPR35",0,0,0,0,0,0
"GPR37",0,1,0,0,0,1
"GPR37L1",2,2,1,0,0,0
"GPR39",43,50,96,38,43,28
"GPR4",2,2,1,0,0,0
"GPR45",0,0,0,0,0,0
"GPR50",1,0,0,0,0,0
"GPR52",0,0,1,0,0,0
"GPR55",0,0,0,0,0,0
"GPR56",30,32,37,63,29,19
"GPR6",0,0,0,0,0,0
"GPR61",0,0,1,0,0,0
"GPR62",0,1,0,0,0,0
"GPR63",4,1,0,0,1,2
"GPR64",2,2,3,11,1,8
"GPR65",0,0,0,0,0,0
"GPR68",0,0,0,0,0,0
"GPR75",2,2,2,0,2,3
"GPR75-ASB3",0,0,0,0,0,0
"GPR78",0,0,0,0,0,0
"GPR82",1,1,0,1,1,0
"GPR83",3,2,0,1,0,1
"GPR84",0,0,1,0,1,0
"GPR85",3,11,7,2,2,2
"GPR87",12,9,0,1,2,1
"GPR88",0,0,1,0,0,2
"GPR89A",1193,796,1100,1279,1234,1070
"GPR89B",276,153,211,312,287,283
"GPR97",0,0,0,0,0,0
"GPR98",1,2,2,0,0,3
"GPRASP1",6,10,7,7,2,3
"GPRASP2",0,0,0,0,0,0
"GPRC5A",130,80,38,76,156,32
"GPRC5B",1,2,2,0,6,4
"GPRC5C",0,1,1,2,1,7
"GPRC5D",0,1,0,0,0,0
"GPRC6A",0,0,0,0,0,0
"GPRIN1",20,22,23,28,12,5
"GPRIN2",0,0,0,0,0,0
"GPRIN3",1,2,1,0,7,3
"GPS1",216,191,426,243,374,139
"GPS2",915,937,1436,1294,1251,944
"GPSM1",5,13,17,9,18,7
"GPSM2",477,312,904,488,650,513
"GPSM3",0,0,1,1,1,3
"GPT",0,0,0,0,0,0
"GPT2",34,33,48,46,53,30
"GPX1",3072,2632,3436,3689,3586,2430
"GPX2",0,0,0,0,0,0
"GPX3",1,0,2,1,4,1
"GPX4",3938,3649,4445,4883,4769,3967
"GPX5",0,0,0,0,0,0
"GPX6",0,0,0,0,0,0
"GPX7",105,84,199,130,136,174
"GPX8",2114,1598,1644,2604,2651,1759
"GRAMD1A",36,44,65,42,55,26
"GRAMD1B",1,3,0,2,0,0
"GRAMD1C",53,58,124,87,134,105
"GRAMD2",0,0,1,0,0,1
"GRAMD3",331,220,302,252,423,223
"GRAMD4",8,15,33,9,27,22
"GRAP",0,0,0,0,0,0
"GRAP2",0,0,0,0,0,0
"GRAPL",1,0,0,0,1,1
"GRASP",0,0,0,0,0,0
"GRB10",348,294,296,364,406,183
"GRB14",5,3,7,0,6,2
"GRB2",430,440,486,487,666,241
"GRB7",0,0,0,0,0,0
"GREB1",0,5,6,2,0,2
"GREB1L",15,3,1,0,1,6
"GREM1",3,0,0,0,1,2
"GREM2",1,2,1,1,0,2
"GRHL1",5,8,4,2,9,3
"GRHL2",0,1,0,0,0,0
"GRHL3",0,1,0,0,1,0
"GRHPR",781,673,1080,1021,987,596
"GRIA1",60,24,48,63,64,26
"GRIA2",0,0,0,0,0,2
"GRIA3",2,0,0,4,0,5
"GRIA4",4,0,51,29,2,60
"GRID1",0,0,0,0,0,0
"GRID1-AS1",0,0,0,0,0,0
"GRID2",0,1,0,0,0,0
"GRID2IP",0,0,0,0,0,0
"GRIK1",3,0,4,3,6,4
"GRIK1-AS1",0,1,1,1,0,0
"GRIK1-AS2",1,2,4,3,3,2
"GRIK2",153,121,345,219,330,284
"GRIK3",2,0,0,0,0,0
"GRIK4",0,0,0,0,0,0
"GRIK5",0,1,1,1,4,4
"GRIN1",0,0,0,0,0,0
"GRIN2A",5,2,2,0,0,0
"GRIN2B",1,0,0,1,0,0
"GRIN2C",0,1,1,0,0,0
"GRIN2D",0,0,0,0,0,0
"GRIN3A",4,0,0,0,0,2
"GRIN3B",0,0,1,0,2,3
"GRINA",166,173,88,142,146,111
"GRIP1",4,1,0,0,3,1
"GRIP2",0,4,0,0,0,0
"GRIPAP1",70,56,76,58,89,54
"GRK1",0,0,0,0,0,1
"GRK1-2",0,0,0,0,0,0
"GRK4",8,2,4,5,3,8
"GRK5",17,17,28,32,16,5
"GRK5-IT1",1,1,2,2,5,1
"GRK6",54,47,82,43,59,16
"GRK7",0,1,0,0,0,0
"GRM1",1,0,0,0,0,6
"GRM2",0,0,0,0,0,0
"GRM3",1,1,2,0,0,1
"GRM4",0,0,1,0,0,1
"GRM5",1,0,0,0,0,0
"GRM5-AS1",2,2,0,0,0,1
"GRM6",0,1,0,0,1,1
"GRM7",1,0,0,0,0,0
"GRM8",1,0,0,0,0,0
"GRN",200,186,275,125,155,167
"GRP",0,0,0,0,0,0
"GRPEL1",901,820,1057,1348,1480,767
"GRPEL2",186,187,165,274,248,162
"GRPR",16,10,32,9,32,11
"GRSF1",476,431,551,555,660,381
"GRTP1",1,0,1,0,4,0
"GRWD1",98,92,126,86,128,73
"GRXCR1",0,0,0,0,0,0
"GRXCR2",0,0,0,0,0,0
"GS1-122H1.2",0,0,0,0,0,0
"GS1-18A18.1",0,0,0,0,0,0
"GS1-204I12.1",0,0,0,0,0,0
"GS1-24F4.2",0,0,0,0,0,0
"GS1-251I9.4",176,192,421,530,396,301
"GS1-259H13.2",18,13,17,7,16,8
"GS1-279B7.1",0,0,0,0,0,0
"GS1-600G8.3",0,0,0,0,0,0
"GSAP",366,197,340,222,290,217
"GSC",0,1,0,0,0,2
"GSC2",0,0,0,0,0,0
"GSDMA",1,0,0,0,0,0
"GSDMB",10,4,3,5,8,5
"GSDMC",2,1,0,0,0,1
"GSDMD",76,55,41,23,51,30
"GSE1",58,41,55,53,69,53
"GSG1",1,1,0,0,1,1
"GSG1L",1,0,0,0,0,0
"GSG2",7,4,6,6,4,13
"GSK3A",20,30,31,40,56,33
"GSK3B",249,212,402,460,480,339
"GSKIP",2699,2224,2704,3004,2927,2253
"GSN",108,75,303,111,128,227
"GSN-AS1",4,1,9,2,9,3
"GSPT1",821,637,823,972,1022,521
"GSPT2",83,129,115,112,79,112
"GSR",120,87,171,116,175,99
"GSS",433,323,742,403,566,343
"GSTA1",0,0,0,0,0,0
"GSTA2",2,1,0,4,2,0
"GSTA3",0,0,0,0,0,0
"GSTA4",309,202,1112,686,614,972
"GSTA5",0,0,0,0,0,0
"GSTA7P",1,1,0,1,0,0
"GSTCD",60,34,52,51,62,42
"GSTK1",1695,1309,2079,1780,1912,1880
"GSTM1",782,613,991,941,969,829
"GSTM2",458,301,507,434,422,510
"GSTM2P1",0,0,0,0,0,0
"GSTM3",640,450,944,1094,864,1026
"GSTM4",364,261,746,388,369,620
"GSTM5",3,0,9,5,0,9
"GSTO1",4611,3437,3707,4862,4493,3256
"GSTO2",5,4,3,3,3,3
"GSTP1",4398,3808,5660,6508,6227,4200
"GSTT2",16,26,4,9,14,16
"GSTT2B",177,111,202,182,185,146
"GSTTP1",0,0,0,0,0,0
"GSTZ1",57,54,134,71,90,93
"GSX1",0,0,0,0,0,0
"GSX2",0,0,0,0,0,0
"GTDC1",93,100,117,117,155,94
"GTF2A1",238,262,279,348,311,228
"GTF2A1L",0,0,0,0,0,7
"GTF2A2",2842,2637,3268,4260,4080,2819
"GTF2B",1514,1155,990,1392,1401,1405
"GTF2E1",150,107,106,102,145,86
"GTF2E2",804,682,783,837,876,501
"GTF2F1",89,104,130,85,131,53
